ticker,Date,Stock Splits,Split Ratio
HSDT,2025-05-02 04:00:00+00:00,0.0666666666666666,1:15
IQST,2025-05-02 04:00:00+00:00,0.0125,1:80
CWD,2025-05-02 04:00:00+00:00,0.05,1:20
NIVF,2025-05-05 04:00:00+00:00,0.1,1:10
PTIX,2025-05-05 04:00:00+00:00,0.0714285714285714,1:14
WAI,2025-05-05 04:00:00+00:00,0.04,1:25
PBM,2025-05-05 04:00:00+00:00,0.125,1:8
SBET,2025-05-06 04:00:00+00:00,0.0833333333333333,1:12
DGLY,2025-05-07 04:00:00+00:00,0.05,1:20
XHG,2025-05-09 04:00:00+00:00,0.05,1:20
GDHG,2025-05-09 04:00:00+00:00,0.04,1:25
ALZN,2025-05-12 04:00:00+00:00,0.1111111111111111,1:9
BGMS,2025-05-12 04:00:00+00:00,0.0625,1:16
STI,2025-05-12 04:00:00+00:00,0.02,1:50
CDIO,2025-05-13 04:00:00+00:00,0.0333333333333333,1:30
MLEC,2025-05-14 04:00:00+00:00,0.1,1:10
RNAZ,2025-05-15 04:00:00+00:00,0.0357142857142857,1:28
SQFT,2025-05-19 04:00:00+00:00,0.1,1:10
BON,2025-05-19 04:00:00+00:00,0.04,1:25
CNEY,2025-05-19 04:00:00+00:00,0.04,1:25
UOKA,2025-05-20 04:00:00+00:00,0.04,1:25
CDT,2025-05-20 04:00:00+00:00,0.0666666666666666,1:15
DFDV,2025-05-21 04:00:00+00:00,7.0,7:1
AIFU,2025-05-21 04:00:00+00:00,0.05,1:20
FAST,2025-05-22 04:00:00+00:00,2.0,2:1
DGLY,2025-05-23 04:00:00+00:00,0.01,1:100
QVCGA,2025-05-23 04:00:00+00:00,0.02,1:50
WHLR,2025-05-27 04:00:00+00:00,0.1428571428571428,1:7
COKE,2025-05-27 04:00:00+00:00,10.0,10:1
FRGT,2025-05-27 04:00:00+00:00,0.25,1:4
PLRZ,2025-05-27 04:00:00+00:00,0.004,1:250
KG,2025-05-28 04:00:00+00:00,0.05,1:20
LYRA,2025-05-28 04:00:00+00:00,0.02,1:50
ASPS,2025-05-28 04:00:00+00:00,0.125,1:8
TAOP,2025-05-29 04:00:00+00:00,0.0333333333333333,1:30
LYEL,2025-06-02 04:00:00+00:00,0.05,1:20
EKSO,2025-06-02 04:00:00+00:00,0.0666666666666666,1:15
ARBB,2025-06-02 04:00:00+00:00,0.0666666666666666,1:15
AGMH,2025-06-03 04:00:00+00:00,0.02,1:50
INAB,2025-06-06 04:00:00+00:00,0.0333333333333333,1:30
DUO,2025-06-09 04:00:00+00:00,0.0625,1:16
BOLT,2025-06-09 04:00:00+00:00,0.05,1:20
AEMD,2025-06-09 04:00:00+00:00,0.125,1:8
PXLW,2025-06-09 04:00:00+00:00,0.0833333333333333,1:12
BBLG,2025-06-10 04:00:00+00:00,0.1666666666666666,1:6
CLRO,2025-06-10 04:00:00+00:00,0.0666666666666666,1:15
SVRE,2025-06-11 04:00:00+00:00,0.3333333333333333,1:3
EMPD,2025-06-12 04:00:00+00:00,0.125,1:8
ERNA,2025-06-12 04:00:00+00:00,0.0666666666666666,1:15
ONCO,2025-06-13 04:00:00+00:00,0.0117647058823529,1:85
CERO,2025-06-13 04:00:00+00:00,0.05,1:20
SMX,2025-06-16 04:00:00+00:00,0.243,1:4.11522633744856
SHPH,2025-06-16 04:00:00+00:00,0.04,1:25
NCI,2025-06-16 04:00:00+00:00,0.2,1:5
CBIO,2025-06-16 04:00:00+00:00,0.01,1:100
RGC,2025-06-16 04:00:00+00:00,38.0,38:1
GCTK,2025-06-16 04:00:00+00:00,0.0166666666666666,1:60
JFBR,2025-06-16 04:00:00+00:00,0.0588235294117647,1:17
JZ,2025-06-16 04:00:00+00:00,0.1,1:10
SNSE,2025-06-17 04:00:00+00:00,0.05,1:20
FGEN,2025-06-17 04:00:00+00:00,0.04,1:25
IBKR,2025-06-18 04:00:00+00:00,4.0,4:1
UNCY,2025-06-20 04:00:00+00:00,0.1,1:10
NEXM,2025-06-20 04:00:00+00:00,0.05,1:20
XXII,2025-06-20 04:00:00+00:00,0.0434782608695652,1:23
PEGA,2025-06-23 04:00:00+00:00,2.0,2:1
SLE,2025-06-23 04:00:00+00:00,0.025,1:40
TRUG,2025-06-23 04:00:00+00:00,0.02,1:50
CLRB,2025-06-24 04:00:00+00:00,0.0333333333333333,1:30
SLMT,2025-06-26 04:00:00+00:00,0.1,1:10
TRNR,2025-06-27 04:00:00+00:00,0.1,1:10
GNLN,2025-06-27 04:00:00+00:00,0.0013333333333333,1:750
INDP,2025-06-27 04:00:00+00:00,0.0357142857142857,1:28
AIMD,2025-06-30 04:00:00+00:00,0.2,1:5
HSDT,2025-07-01 04:00:00+00:00,0.02,1:50
SPRC,2025-07-03 04:00:00+00:00,0.0476190476190476,1:21
BIVI,2025-07-07 04:00:00+00:00,0.1,1:10
ALM,2025-07-07 04:00:00+00:00,0.6666666666666666,1:1.5
BGMS,2025-07-07 04:00:00+00:00,0.0666666666666666,1:15
LVLU,2025-07-07 04:00:00+00:00,0.0666666666666666,1:15
REVB,2025-07-07 04:00:00+00:00,0.3333333333333333,1:3
NUWE,2025-07-07 04:00:00+00:00,0.0238095238095238,1:42
LRHC,2025-07-07 04:00:00+00:00,0.0125,1:80
BNZI,2025-07-08 04:00:00+00:00,0.1,1:10
ALM,2025-07-08 04:00:00+00:00,0.6666666666666666,1:1.5
MFI,2025-07-10 04:00:00+00:00,0.125,1:8
SNFCA,2025-07-11 04:00:00+00:00,1.05,1.05:1
NXTC,2025-07-14 04:00:00+00:00,0.0833333333333333,1:12
GORV,2025-07-14 04:00:00+00:00,0.0333333333333333,1:30
HTOO,2025-07-14 04:00:00+00:00,0.0285714285714285,1:35
XAIR,2025-07-14 04:00:00+00:00,0.05,1:20
LBRDK,2025-07-15 04:00:00+00:00,1.068,1.068:1
LBRDA,2025-07-15 04:00:00+00:00,1.067,1.067:1
IVF,2025-07-21 04:00:00+00:00,0.3333333333333333,1:3
GVH,2025-07-21 04:00:00+00:00,0.005,1:200
CNSP,2025-07-22 04:00:00+00:00,0.0833333333333333,1:12
GBIO,2025-07-22 04:00:00+00:00,0.1,1:10
PC,2025-07-22 04:00:00+00:00,0.1111111111111111,1:9
VRCA,2025-07-25 04:00:00+00:00,0.1,1:10
IMNN,2025-07-25 04:00:00+00:00,0.0666666666666666,1:15
MRSN,2025-07-28 04:00:00+00:00,0.04,1:25
AGRI,2025-07-28 04:00:00+00:00,0.1111111111111111,1:9
VELO,2025-07-28 04:00:00+00:00,0.0666666666666666,1:15
SLXN,2025-07-29 04:00:00+00:00,0.0666666666666666,1:15
AIHS,2025-07-29 04:00:00+00:00,0.1,1:10
NAAS,2025-07-30 04:00:00+00:00,0.25,1:4
VSTD,2025-07-31 04:00:00+00:00,4.0,4:1
BDRX,2025-07-31 04:00:00+00:00,0.1,1:10
FGI,2025-07-31 04:00:00+00:00,0.2,1:5
AEC,2025-08-01 04:00:00+00:00,0.0133333333333333,1:75
DRMA,2025-08-01 04:00:00+00:00,0.1,1:10
UNIT,2025-08-04 04:00:00+00:00,0.602,1:1.6611295681063123
NIVF,2025-08-04 04:00:00+00:00,0.2,1:5
AQMS,2025-08-04 04:00:00+00:00,0.1,1:10
ANGH,2025-08-04 04:00:00+00:00,0.1,1:10
FLGC,2025-08-04 04:00:00+00:00,0.0256410256410256,1:39
ACXP,2025-08-05 04:00:00+00:00,0.05,1:20
SEAT,2025-08-06 04:00:00+00:00,0.05,1:20
IMNN,2025-08-07 04:00:00+00:00,1.15,1.15:1
SMX,2025-08-07 04:00:00+00:00,0.1428571428571428,1:7
DEVS,2025-08-08 04:00:00+00:00,0.1,1:10
ZBAI,2025-08-08 04:00:00+00:00,0.0555555555555555,1:18
EVTV,2025-08-08 04:00:00+00:00,0.1,1:10
HTCO,2025-08-08 04:00:00+00:00,0.04,1:25
VERU,2025-08-11 04:00:00+00:00,0.1,1:10
NAOV,2025-08-12 04:00:00+00:00,0.1,1:10
CHSN,2025-08-18 04:00:00+00:00,0.0125,1:80
ENTO,2025-08-18 04:00:00+00:00,0.3333333333333333,1:3
SLRX,2025-08-18 04:00:00+00:00,0.0666666666666666,1:15
LNZA,2025-08-19 04:00:00+00:00,0.01,1:100
GIBO,2025-08-20 04:00:00+00:00,0.005,1:200
OESX,2025-08-22 04:00:00+00:00,0.1,1:10
BCTX,2025-08-25 04:00:00+00:00,0.1,1:10
FRSX,2025-08-25 04:00:00+00:00,0.1428571428571428,1:7
GWAV,2025-08-25 04:00:00+00:00,0.009090909090909,1:110
QH,2025-08-25 04:00:00+00:00,0.0111111111111111,1:90
OP,2025-08-25 04:00:00+00:00,0.04,1:25
SUGP,2025-08-25 04:00:00+00:00,0.1,1:10
GTI,2025-08-25 04:00:00+00:00,0.0166666666666666,1:60
CMMB,2025-08-26 04:00:00+00:00,0.25,1:4
AKAN,2025-08-26 04:00:00+00:00,0.32,1:3.125
